subject,item,correct
law,729,0
law,730,0
law,731,1
law,732,0
law,733,0
law,734,0
law,735,1
law,736,0
law,737,0
law,738,0
law,739,1
law,740,0
law,741,0
law,742,1
law,743,0
law,744,0
law,745,1
law,746,0
law,747,1
law,748,1
law,749,1
logic,750,1
logic,751,1
logic,752,1
logic,753,0
logic,754,1
logic,755,1
logic,756,1
logic,757,0
logic,758,1
logic,759,1
logic,760,0
logic,761,0
logic,762,0
logic,763,1
logic,764,1
logic,765,1
logic,766,1
logic,767,0
logic,768,0
logic,769,1
logic,770,1
logic,771,0
logic,772,0
logic,773,0
logic,774,0
logic,775,1
logic,776,1
logic,777,0
logic,778,1
logic,779,1
logic,780,1
logic,781,1
logic,782,1
logic,783,1
logic,784,1
logic,785,1
logic,786,0
logic,787,1
logic,788,1
logic,789,1
logic,790,1
logic,791,1
logic,792,0
logic,793,1
logic,794,0
logic,795,0
logic,796,1
logic,797,1
logic,798,0
logic,799,1
logic,800,1
logic,801,0
logic,802,0
logic,803,1
logic,804,1
logic,805,1
logic,806,0
logic,807,1
logic,808,1
logic,809,1
logic,810,1
logic,811,1
logic,812,0
logic,813,1
logic,814,0
logic,815,0
logic,816,1
logic,817,0
logic,818,1
logic,819,0
logic,820,1
logic,821,0
logic,822,0
logic,823,1
logic,824,1
logic,825,0
logic,826,1
logic,827,1
logic,828,1
logic,829,0
logic,830,1
logic,831,0
logic,832,0
logic,833,1
logic,834,0
logic,835,0
logic,836,0
logic,837,0
logic,838,1
logic,839,0
logic,840,1
logic,841,1
logic,842,0
logic,843,1
logic,844,1
logic,845,1
logic,846,0
logic,847,1
logic,848,0
logic,849,1
logic,850,1
logic,851,0
logic,852,0
logic,853,0
logic,854,0
logic,855,0
logic,856,1
logic,857,0
logic,858,0
logic,859,1
logic,860,0
logic,861,0
logic,862,1
logic,863,0
logic,864,1
logic,865,1
logic,866,0
logic,867,1
logic,868,0
logic,869,1
logic,870,0
logic,871,0
logic,872,1
logic,873,0
logic,874,1
logic,875,1
logic,876,0
logic,877,1
logic,878,1
logic,879,1
logic,880,1
logic,881,1
logic,882,1
logic,883,1
logic,884,0
logic,885,0
logic,886,1
logic,887,0
logic,888,1
logic,889,0
logic,890,1
logic,891,0
logic,892,1
logic,893,0
logic,894,1
logic,895,1
logic,896,0
logic,897,1
logic,898,0
logic,899,1
physics,900,1
physics,901,1
physics,902,1
physics,903,1
physics,904,0
physics,905,1
physics,906,1
physics,907,0
physics,908,1
physics,909,1
physics,910,1
physics,911,0
physics,912,0
physics,913,1
physics,914,0
physics,915,1
physics,916,0
physics,917,0
physics,918,1
physics,919,1
physics,920,0
physics,921,0
physics,922,0
physics,923,0
physics,924,1
physics,925,1
physics,926,1
physics,927,1
physics,928,0
physics,929,0
physics,930,0
physics,931,0
physics,932,0
physics,933,0
physics,934,1
physics,935,1
physics,936,0
physics,937,1
physics,938,1
physics,939,1
physics,940,1
physics,941,1
physics,942,0
physics,943,1
physics,944,1
physics,945,0
physics,946,1
physics,947,1
physics,948,1
physics,949,1
physics,950,1
physics,951,1
physics,952,0
physics,953,1
physics,954,0
physics,955,0
physics,956,1
physics,957,1
physics,958,0
physics,959,1
physics,960,0
physics,961,1
physics,962,0
physics,963,1
physics,964,1
physics,965,1
physics,966,1
physics,967,0
physics,968,0
physics,969,1
physics,970,0
physics,971,0
physics,972,1
physics,973,1
physics,974,0
physics,975,1
physics,976,1
physics,977,1
physics,978,1
physics,979,0
physics,980,1
physics,981,0
physics,982,1
physics,983,1
physics,984,1
physics,985,1
physics,986,0
physics,987,0
physics,988,1
physics,989,1
physics,990,1
physics,991,1
physics,992,1
physics,993,1
physics,994,1
physics,995,1
physics,996,0
physics,997,0
physics,998,1
physics,999,1
physics,1000,1
physics,1001,1
physics,1002,1
physics,1003,1
physics,1004,1
physics,1005,1
physics,1006,1
physics,1007,0
physics,1008,0
physics,1009,1
physics,1010,1
physics,1011,0
physics,1012,1
physics,1013,0
physics,1014,1
physics,1015,1
physics,1016,0
physics,1017,1
physics,1018,0
physics,1019,1
physics,1020,0
physics,1021,0
physics,1022,1
physics,1023,1
physics,1024,1
physics,1025,1
physics,1026,0
physics,1027,1
physics,1028,0
physics,1029,1
physics,1030,1
physics,1031,1
physics,1032,0
physics,1033,1
physics,1034,0
physics,1035,1
physics,1036,0
physics,1037,1
physics,1038,1
physics,1039,1
physics,1040,1
physics,1041,1
physics,1042,0
physics,1043,1
physics,1044,1
physics,1045,1
physics,1046,1
physics,1047,1
physics,1048,0
physics,1049,1
statistics,1050,1
statistics,1051,1
statistics,1052,1
statistics,1053,1
statistics,1054,1
statistics,1055,1
statistics,1056,1
statistics,1057,1
statistics,1058,0
statistics,1059,0
statistics,1060,1
statistics,1061,1
statistics,1062,1
statistics,1063,1
statistics,1064,1
statistics,1065,1
statistics,1066,1
statistics,1067,1
statistics,1068,1
statistics,1069,1
statistics,1070,1
statistics,1071,1
statistics,1072,1
statistics,1073,1
statistics,1074,1
statistics,1075,1
statistics,1076,1
statistics,1077,1
statistics,1078,1
statistics,1079,1
statistics,1080,1
statistics,1081,0
statistics,1082,1
statistics,1083,1
statistics,1084,1
statistics,1085,1
statistics,1086,1
statistics,1087,1
statistics,1088,1
statistics,1089,1
statistics,1090,1
statistics,1091,1
statistics,1092,1
statistics,1093,1
statistics,1094,1
statistics,1095,1
statistics,1096,1
statistics,1097,1
statistics,1098,0
statistics,1099,1
statistics,1100,0
statistics,1101,1
statistics,1102,1
statistics,1103,1
statistics,1104,1
statistics,1105,1
statistics,1106,1
statistics,1107,1
statistics,1108,1
statistics,1109,1
statistics,1110,1
statistics,1111,1
statistics,1112,1
statistics,1113,1
statistics,1114,1
statistics,1115,1
statistics,1116,1
statistics,1117,0
statistics,1118,0
statistics,1119,0
statistics,1120,1
statistics,1121,1
statistics,1122,1
statistics,1123,0
statistics,1124,1
statistics,1125,1
statistics,1126,1
statistics,1127,1
statistics,1128,1
statistics,1129,1
statistics,1130,1
statistics,1131,1
statistics,1132,1
statistics,1133,1
statistics,1134,1
statistics,1135,1
statistics,1136,1
statistics,1137,1
statistics,1138,1
statistics,1139,1
statistics,1140,1
statistics,1141,1
statistics,1142,1
statistics,1143,1
statistics,1144,1
statistics,1145,1
statistics,1146,1
statistics,1147,1
statistics,1148,1
statistics,1149,1
statistics,1150,1
statistics,1151,1
statistics,1152,1
statistics,1153,1
statistics,1154,1
statistics,1155,1
statistics,1156,1
statistics,1157,0
statistics,1158,1
statistics,1159,1
statistics,1160,1
statistics,1161,1
statistics,1162,1
statistics,1163,1
statistics,1164,1
statistics,1165,1
statistics,1166,1
statistics,1167,1
statistics,1168,0
statistics,1169,1
statistics,1170,1
statistics,1171,1
statistics,1172,1
statistics,1173,1
statistics,1174,1
statistics,1175,1
statistics,1176,1
statistics,1177,1
statistics,1178,1
statistics,1179,1
statistics,1180,1
statistics,1181,0
statistics,1182,0
statistics,1183,1
statistics,1184,1
statistics,1185,1
statistics,1186,1
statistics,1187,0
statistics,1188,1
statistics,1189,1
statistics,1190,1
statistics,1191,1
statistics,1192,1
statistics,1193,1
statistics,1194,0
statistics,1195,1
statistics,1196,1
statistics,1197,1
statistics,1198,1
statistics,1199,1
