benchmark,item,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
B1,58,1,1,1,1,0,1,1,0,1,0,0,0
B1,59,1,0,0,0,1,0,0,0,0,0,0,0
B1,60,1,1,1,1,0,1,1,0,0,0,0,0
B1,61,1,1,1,1,1,1,1,1,1,1,1,1
B1,62,1,0,1,0,1,1,1,0,0,0,1,0
B1,63,1,1,1,0,1,1,1,1,1,1,1,1
B1,64,1,1,1,1,0,0,1,1,1,0,0,0
B1,65,1,1,1,1,0,1,1,1,1,1,1,1
B1,66,1,0,0,0,1,0,1,0,1,1,0,1
B1,67,0,0,0,1,0,0,1,0,0,0,0,0
B1,68,1,1,0,1,1,0,1,1,0,1,0,0
B1,69,1,1,1,1,1,1,1,1,0,1,0,1
B1,70,0,1,1,0,0,1,0,1,0,1,0,0
B1,71,1,0,1,0,1,1,0,0,0,0,0,1
B1,72,1,1,1,1,1,1,1,1,1,1,1,1
B1,73,1,1,1,1,1,1,1,1,1,1,0,1
B1,74,1,1,1,1,1,1,1,1,0,1,1,1
B1,75,0,0,0,0,0,0,0,0,0,0,0,0
B1,76,1,1,1,1,1,1,1,1,1,1,1,1
B1,77,1,1,0,0,0,1,1,1,0,0,1,1
B1,78,1,1,0,0,1,0,0,0,0,0,0,0
B1,79,1,1,1,1,1,1,1,1,1,1,1,1
B1,80,0,0,0,0,0,0,0,0,0,0,0,1
B1,81,0,1,1,0,0,0,1,0,0,0,0,0
B1,82,1,0,1,0,1,1,1,1,1,1,0,0
B1,83,1,1,1,0,1,0,1,1,1,0,1,0
B1,84,1,1,1,1,1,1,1,1,1,1,0,1
B1,85,1,1,1,0,1,0,1,1,0,1,1,1
B1,86,1,1,1,1,1,1,1,1,0,0,1,1
B1,87,1,1,1,0,1,0,1,1,0,1,0,0
B1,88,1,1,0,1,1,1,1,1,0,0,1,1
B1,89,1,1,1,1,0,0,1,1,0,1,1,1
B1,90,0,1,1,1,1,0,0,1,0,0,1,0
B1,91,1,1,1,1,1,1,1,1,1,1,1,1
B1,92,1,1,0,1,0,1,0,1,1,1,1,1
B1,93,0,0,0,1,0,0,0,0,0,0,0,0
B1,94,0,1,0,1,1,1,0,1,0,0,0,0
B1,95,0,1,1,1,1,1,1,0,1,1,0,1
B1,96,1,1,1,0,1,0,0,1,1,0,0,1
B1,97,1,1,1,1,0,1,1,1,1,1,0,0
B1,98,1,0,1,0,1,1,1,1,1,0,1,0
B1,99,1,1,1,1,1,1,1,1,1,1,1,1
B1,100,1,0,1,1,1,1,0,0,0,1,0,0
B1,101,1,1,1,1,0,1,1,1,1,1,0,0
B1,102,1,1,1,1,1,1,1,1,1,1,1,1
B1,103,1,1,1,1,0,0,0,0,1,1,0,0
B1,104,0,0,1,0,1,0,0,1,1,1,0,0
B1,105,0,1,1,0,0,1,1,1,1,0,0,0
B1,106,1,1,1,1,1,1,1,1,1,1,1,1
B1,107,1,1,1,1,1,1,0,0,0,1,0,0
B1,108,1,1,1,1,1,1,1,0,0,0,1,0
B1,109,1,1,1,1,1,0,0,1,1,0,1,1
B1,110,0,1,1,1,1,1,1,0,0,1,1,1
B1,111,0,1,1,0,1,1,0,1,0,0,0,1
B1,112,1,1,0,0,0,0,0,1,1,0,0,0
B1,113,1,1,1,1,1,1,1,1,1,1,1,1
B1,114,1,1,1,1,0,1,1,1,0,1,1,1
B1,115,1,1,1,1,1,1,1,1,1,1,0,1
B1,116,1,1,1,1,1,0,1,1,1,1,1,1
B1,117,0,1,1,1,1,1,0,1,0,1,0,1
B1,118,1,1,1,1,1,1,0,1,1,0,0,1
B1,119,1,1,1,1,1,1,1,1,1,1,1,1
B1,120,1,1,0,1,1,1,1,0,0,0,0,1
B1,121,1,1,1,1,1,1,1,1,1,1,1,1
B1,122,1,1,1,1,0,1,1,0,1,0,1,0
B1,123,1,1,1,1,1,0,1,1,1,0,1,0
B1,124,0,0,1,1,1,1,0,1,1,0,1,0
B1,125,1,1,1,1,1,1,1,1,1,0,1,1
B1,126,1,0,0,1,0,0,1,0,0,0,0,0
B1,127,0,1,1,1,1,0,1,0,0,1,0,1
B1,128,1,1,1,1,1,1,1,1,1,1,1,1
B1,129,0,0,1,0,0,1,0,0,0,0,0,0
B1,130,1,1,1,1,0,0,1,0,1,1,1,1
B1,131,1,1,1,1,0,1,1,1,1,1,1,1
B1,132,1,1,0,1,1,0,1,1,0,1,0,0
B1,133,1,0,0,0,1,0,0,1,0,1,0,1
B1,134,1,1,1,0,0,0,0,0,0,0,0,0
B1,135,0,0,0,0,0,0,0,0,0,0,0,0
B1,136,1,1,1,1,1,1,1,1,1,1,1,1
B1,137,1,1,1,1,0,1,1,1,1,1,1,1
B1,138,1,1,0,1,1,1,1,1,1,0,1,0
B1,139,1,1,1,1,1,1,1,1,1,1,1,0
B1,140,1,1,1,1,1,1,1,0,1,1,1,1
B1,141,1,1,1,1,1,0,0,0,0,1,0,1
B1,142,1,1,1,1,0,1,1,0,0,0,0,0
B1,143,1,1,1,0,1,1,1,1,1,1,1,1
B1,144,1,1,1,1,1,1,1,1,1,1,1,1
B1,145,1,1,1,0,1,1,1,1,1,1,0,0
B1,146,1,1,1,0,1,1,1,1,1,1,0,1
B1,147,0,1,0,0,1,0,1,0,0,0,0,0
B1,148,1,1,1,0,1,0,1,1,1,1,1,1
B1,149,1,1,1,1,1,1,1,1,1,1,1,1
B1,150,1,0,0,0,0,0,0,0,0,0,0,0
B1,151,1,1,1,1,1,1,1,1,1,0,0,1
B1,152,1,1,1,1,1,1,1,1,1,0,1,1
B1,153,1,1,0,1,1,1,1,1,1,0,1,0
B1,154,0,0,1,1,1,0,1,1,1,1,0,0
B1,155,1,1,1,1,0,1,0,1,0,0,0,0
B1,156,1,1,1,1,0,1,1,0,1,0,0,0
B1,157,1,1,0,1,1,0,0,1,0,0,0,0
B1,158,1,1,1,0,1,1,0,0,0,0,1,1
B1,159,0,0,1,1,0,0,0,1,0,0,0,0
B1,160,1,1,1,1,1,1,1,1,1,1,1,1
B1,161,1,1,1,1,1,1,0,0,1,0,1,1
B1,162,1,1,1,1,1,0,1,0,1,1,1,0
B1,163,0,0,0,0,0,0,0,0,0,0,0,1
B1,164,1,1,1,1,1,1,1,1,1,1,1,1
B1,165,0,0,0,0,0,0,1,1,0,0,0,0
B1,166,1,1,0,1,1,1,0,1,0,1,0,0
B1,167,1,1,1,1,1,1,1,1,1,0,1,1
B1,168,0,1,0,1,1,0,0,1,0,1,0,0
B1,169,1,1,0,1,1,0,0,0,1,0,1,0
B1,170,1,1,0,1,0,0,0,0,1,0,0,0
B1,171,0,1,1,1,1,0,0,0,1,0,1,0
B1,172,0,1,1,1,1,1,1,1,1,0,1,1
B1,173,1,1,1,0,1,1,1,1,1,1,1,1
B1,174,1,1,1,1,1,1,1,0,0,0,1,1
B1,175,1,1,1,1,1,1,1,1,1,1,1,0
B1,176,1,1,1,1,1,0,0,1,1,1,0,0
B1,177,1,1,1,1,1,1,1,1,1,1,0,1
B1,178,1,1,1,1,1,1,1,1,1,1,1,1
B1,179,0,0,0,0,0,0,0,0,0,0,0,0
B1,180,1,1,1,1,1,1,1,1,1,1,1,1
B1,181,0,1,0,1,1,1,1,1,0,0,0,1
B1,182,1,1,1,1,0,0,1,0,0,0,1,0
B1,183,1,1,1,1,1,1,1,1,1,1,0,1
B1,184,0,1,0,1,0,1,0,0,0,0,0,0
B1,185,1,1,0,1,1,1,1,1,1,1,1,1
B1,186,1,1,1,1,1,1,1,1,1,1,1,0
B1,187,1,1,1,1,1,1,1,1,1,1,1,1
B1,188,1,1,1,1,1,1,0,1,1,1,1,1
B1,189,1,1,1,1,1,1,1,1,0,1,1,1
B1,190,1,1,1,1,1,1,0,1,0,0,0,1
B1,191,0,0,1,1,0,1,0,1,0,0,0,0
B1,192,0,1,1,1,1,1,1,0,1,1,1,1
B1,193,1,1,0,1,1,1,0,1,0,1,0,1
B1,194,1,1,1,1,1,1,1,1,1,0,1,1
B1,195,1,0,1,1,1,0,1,0,0,1,0,1
B1,196,1,1,1,0,0,0,1,1,1,0,0,1
B1,197,1,0,1,1,0,1,1,1,1,1,1,0
B1,198,1,1,1,1,1,1,0,0,0,1,1,0
B1,199,1,1,1,1,1,1,1,1,1,1,1,1
B2,0,1,1,0,1,1,1,1,1,1,0,0,1
B2,1,1,1,1,0,1,0,1,1,0,0,1,0
B2,2,1,1,1,1,1,1,1,1,1,1,1,0
B2,3,0,1,1,1,1,1,1,1,0,0,0,0
B2,4,0,1,1,1,1,1,1,1,0,1,1,1
B2,5,0,0,1,0,0,1,1,0,0,0,1,1
B2,6,1,1,0,1,0,1,1,0,1,0,0,0
B2,7,1,0,0,0,0,0,0,0,0,0,0,0
B2,8,1,1,1,1,1,1,1,0,1,1,1,1
B2,9,1,1,0,0,1,0,1,0,0,1,0,0
B2,10,1,1,1,1,1,1,1,1,1,1,1,1
B2,11,0,0,1,0,0,0,0,0,0,1,0,0
B2,12,1,1,1,1,1,1,1,1,1,1,1,1
B2,13,1,1,1,1,1,1,1,1,1,1,1,0
B2,14,0,1,1,1,1,1,1,1,0,1,1,1
B2,15,1,1,0,1,0,1,1,1,1,0,0,0
B2,16,0,0,0,1,0,1,1,0,0,0,1,0
B2,17,1,1,1,1,1,1,1,1,1,1,1,1
B2,18,1,1,1,1,1,1,1,1,1,1,1,1
B2,19,1,1,1,1,1,1,1,1,0,1,1,0
B2,20,0,1,0,0,1,0,1,1,1,1,1,0
B2,21,1,1,0,1,1,1,1,1,1,1,1,1
B2,22,1,0,0,1,0,0,0,1,0,0,0,0
B2,23,0,1,0,1,0,0,0,0,0,0,0,0
B2,24,0,0,0,0,0,0,0,0,1,0,0,0
B2,25,1,1,1,0,0,0,0,0,0,1,1,1
B2,26,0,1,1,1,0,0,1,1,0,0,0,0
B2,27,1,1,1,1,1,1,1,1,1,1,1,1
B2,28,1,0,1,1,0,0,0,0,1,0,0,1
B2,29,1,1,1,1,1,1,1,1,1,1,1,1
B2,30,1,0,1,1,1,1,0,0,1,0,0,0
B2,31,1,1,1,1,1,1,1,1,1,0,1,1
B2,32,1,0,1,1,1,1,0,1,1,1,0,1
B2,33,0,0,0,1,0,0,0,0,0,0,0,0
B2,34,1,0,1,1,0,0,0,0,0,0,0,0
B2,35,1,0,1,1,1,1,0,1,0,0,0,1
B2,36,1,1,1,1,1,1,1,1,1,1,1,1
B2,37,1,1,0,1,1,1,1,1,1,0,1,1
B2,38,1,0,1,1,1,1,0,0,1,0,1,0
B2,39,0,1,1,1,0,1,0,1,0,1,0,0
B2,40,1,0,0,1,1,1,1,1,1,1,0,0
B2,41,1,1,1,1,1,1,0,0,1,1,1,1
B2,42,0,1,0,1,1,0,0,0,0,0,0,0
B2,43,1,0,1,0,0,0,0,0,1,0,0,0
B2,44,0,0,0,1,0,0,0,0,0,0,0,1
B2,45,0,1,1,1,1,0,1,1,0,1,0,0
B2,46,1,1,1,1,1,1,1,1,0,1,0,1
B2,47,0,0,0,0,0,0,1,1,0,0,0,1
B2,48,1,1,1,1,1,0,0,1,1,1,0,0
B2,49,1,1,1,0,1,1,1,1,1,1,1,0
B2,50,1,1,1,1,1,1,0,1,1,0,1,1
B2,51,1,1,1,1,1,1,1,1,1,1,1,1
B2,52,0,0,0,1,1,1,0,0,0,0,1,0
B2,53,1,1,1,1,0,0,1,0,0,1,0,0
B2,54,0,0,0,0,1,1,1,1,1,0,1,1
B2,55,1,1,1,1,0,1,1,1,1,0,1,1
B2,56,1,1,1,1,0,1,0,0,0,1,0,0
B2,57,1,1,1,1,0,1,0,0,0,1,1,1
B2,58,1,1,1,1,1,1,1,1,1,0,0,1
B2,59,1,1,1,0,0,0,1,1,1,1,0,0
B2,60,1,1,1,1,1,1,1,1,1,1,1,1
B2,61,0,1,1,0,1,1,1,1,1,0,1,0
B2,62,1,1,1,1,1,1,1,1,1,1,1,0
B2,63,0,0,0,0,0,0,0,0,0,0,0,0
B2,64,0,0,0,0,0,0,0,0,0,0,0,0
B2,65,0,0,0,0,1,1,0,0,1,1,0,0
B2,66,1,0,0,0,1,0,0,0,0,0,0,0
B2,67,0,0,0,0,0,0,0,0,0,0,0,0
B2,68,1,1,1,0,0,1,1,1,1,0,0,0
B2,69,0,0,0,1,0,1,0,1,0,0,0,0
B2,70,0,0,0,0,0,0,1,0,0,0,0,0
B2,71,1,1,1,0,1,1,0,1,1,0,1,0
B2,72,1,1,1,1,0,1,1,1,0,1,1,1
B2,73,1,1,1,1,1,1,1,1,1,0,1,0
B2,74,0,1,0,0,0,1,0,0,0,0,0,0
B2,75,1,1,1,1,1,1,0,1,0,1,1,0
B2,76,1,1,1,1,1,1,1,1,1,1,0,0
B2,77,1,1,1,0,0,0,1,1,0,0,0,0
B2,78,0,1,1,1,1,1,1,0,1,1,1,1
B2,79,1,1,1,1,0,1,1,1,0,1,1,1
B2,80,1,1,1,1,1,1,1,1,1,1,1,1
B2,81,0,0,0,0,0,0,0,1,0,0,0,0
B2,82,1,1,1,0,1,1,1,1,1,1,1,1
B2,83,0,0,1,0,1,1,1,1,0,1,0,0
B2,84,1,1,0,1,1,0,1,0,1,1,0,1
B2,85,0,1,0,1,1,0,1,0,0,0,0,0
B2,86,1,1,0,0,0,0,0,0,1,0,0,0
B2,87,1,1,1,1,1,1,1,1,1,0,1,1
B2,88,1,0,0,1,1,1,0,0,1,0,1,0
B2,89,0,1,1,0,0,1,0,0,0,0,0,0
B2,90,1,0,0,1,1,1,0,0,1,0,0,0
B2,91,1,1,1,0,1,1,1,1,1,1,0,0
B2,92,1,1,1,1,1,1,0,1,0,0,1,0
B2,93,1,1,1,1,1,1,1,1,1,1,0,1
B2,94,0,1,1,1,1,0,1,0,1,1,0,0
B2,95,1,1,1,1,1,1,1,1,0,0,1,1
B2,96,1,0,1,1,1,0,1,1,0,1,1,1
B2,97,1,0,1,1,1,1,0,1,0,0,1,0
B2,98,0,0,1,0,1,0,1,0,0,0,0,0
B2,99,1,0,1,0,0,1,0,0,0,1,1,0
B2,100,1,1,1,1,1,1,1,1,1,0,0,0
B2,101,0,0,1,0,1,0,1,1,1,0,1,1
B2,102,0,0,0,1,1,0,0,0,0,0,0,0
B2,103,1,1,1,1,1,1,1,1,1,1,1,0
B2,104,1,1,1,1,1,1,1,1,1,1,1,1
B2,105,1,1,1,1,0,0,1,1,1,1,0,0
B2,106,1,0,1,1,1,0,1,1,1,1,1,1
B2,107,0,0,1,0,0,0,0,0,0,0,0,0
B2,108,0,1,1,1,1,1,1,1,1,1,1,0
B2,109,1,0,1,0,0,1,1,1,0,1,0,0
B2,110,1,1,1,1,1,1,0,1,1,1,0,0
B2,111,1,1,1,1,0,1,1,0,1,0,1,1
B2,112,0,1,1,1,0,1,0,1,0,1,1,1
B2,113,0,0,0,0,0,0,0,0,0,1,0,0
B2,114,1,1,1,1,1,1,1,1,1,0,1,1
B2,115,0,0,1,0,0,0,0,0,0,0,0,0
B2,116,1,0,1,0,1,0,0,1,0,0,1,0
B2,117,1,1,1,1,1,1,0,1,0,0,1,1
B2,118,1,1,1,1,1,1,1,0,1,1,0,0
B2,119,1,1,1,1,1,1,1,1,1,1,1,1
B2,120,1,1,1,1,1,1,1,1,1,1,1,1
B2,121,0,0,0,0,0,1,0,0,0,0,0,0
B2,122,1,0,1,1,0,0,1,1,1,0,0,0
B2,123,0,0,0,0,0,0,0,0,0,1,0,0
B2,124,1,1,0,1,0,0,1,0,1,0,0,1
B2,125,0,0,0,0,0,1,0,1,0,0,0,0
B2,126,0,1,1,1,1,1,1,0,1,0,0,1
B2,127,1,0,0,0,0,0,0,0,0,0,0,1
B2,128,1,1,1,1,1,1,1,1,1,1,1,1
B2,129,0,0,0,1,0,0,0,0,1,0,0,0
B2,130,1,1,1,1,1,1,1,1,1,1,1,0
B2,131,0,1,0,1,0,1,0,0,0,1,1,1
B2,132,0,1,1,1,0,1,1,1,1,0,0,1
B2,133,1,1,0,1,1,0,1,1,0,1,0,1
B2,134,1,1,1,1,1,1,1,1,1,1,0,1
B2,135,1,0,1,1,1,1,1,1,0,1,0,0
B2,136,0,1,1,1,1,1,1,0,0,1,0,0
B2,137,0,1,0,0,0,0,0,0,0,0,0,0
B2,138,1,1,1,1,1,1,0,1,1,1,0,1
B2,139,1,0,0,0,1,0,0,0,0,0,0,0
B2,140,1,1,1,1,1,1,1,1,1,1,1,1
B2,141,1,1,1,1,1,1,1,0,1,0,0,0
B2,142,1,1,1,1,1,1,1,0,0,0,0,0
B2,143,1,0,1,0,0,0,0,0,0,1,0,0
B2,144,1,1,1,1,1,1,1,1,1,0,0,0
B2,145,1,0,0,1,0,0,0,0,0,0,0,0
B2,146,0,1,0,0,1,0,1,0,1,0,0,0
B2,147,1,0,1,1,0,0,1,0,1,0,0,0
B2,148,1,1,1,1,0,1,1,0,1,0,0,0
B2,149,0,1,1,0,1,1,1,1,1,0,0,0
B2,150,1,1,1,1,0,1,1,1,1,0,1,0
B2,151,0,0,0,0,0,0,0,0,0,0,0,0
B2,152,1,1,1,1,1,1,1,1,1,1,0,1
B2,153,0,1,1,0,1,0,1,1,1,0,1,0
B2,154,0,0,1,0,0,0,1,0,0,0,0,0
B2,155,1,0,0,1,0,0,0,0,0,0,0,0
B2,156,1,1,1,1,0,1,0,1,1,1,0,1
B2,157,1,1,1,1,0,1,0,1,0,1,1,0
B2,158,0,1,1,0,0,1,0,0,0,0,1,0
B2,159,1,1,1,1,0,0,1,1,0,1,0,1
B2,160,0,1,1,1,1,1,1,1,0,0,0,0
B2,161,0,1,1,0,1,0,0,0,1,1,1,0
B2,162,0,1,1,1,0,0,0,1,1,0,0,0
B2,163,1,0,1,1,1,1,0,1,0,0,1,0
B2,164,0,0,0,1,1,1,0,0,1,0,0,0
B2,165,1,1,1,1,1,1,1,1,1,1,1,1
B2,166,1,0,1,1,1,1,1,1,1,1,1,0
B2,167,1,1,0,1,0,0,0,0,0,0,0,0
B2,168,1,1,1,0,1,1,0,0,0,1,1,1
B2,169,1,1,1,1,1,0,1,1,0,0,0,0
B2,170,1,0,0,0,0,0,0,1,0,0,0,0
B2,171,1,1,1,1,1,1,1,1,1,1,1,1
B2,172,1,1,1,1,1,1,1,1,1,1,0,1
B2,173,1,1,1,1,1,1,1,0,1,0,1,1
B2,174,1,1,1,1,1,0,0,0,0,1,0,0
B2,175,1,1,1,1,1,1,1,1,1,0,0,0
B2,176,0,0,0,0,0,0,0,0,0,0,0,0
B2,177,1,0,0,1,0,0,0,0,0,0,0,0
B2,178,1,1,1,0,0,0,0,1,0,1,1,0
B2,179,1,1,1,1,1,1,1,0,1,0,1,1
B2,180,1,1,1,1,1,1,1,1,1,1,1,1
B2,181,1,1,1,1,0,1,1,1,1,1,1,0
B2,182,1,1,1,1,1,1,1,1,0,0,0,0
B2,183,1,1,1,0,1,1,1,1,1,1,1,1
B2,184,1,1,1,1,1,1,1,0,1,0,0,1
B2,185,0,0,0,1,0,0,0,1,0,0,0,0
B2,186,1,1,1,1,1,0,1,1,1,0,1,0
B2,187,1,1,1,1,1,0,1,0,1,1,1,1
B2,188,1,1,0,1,1,1,1,0,0,1,1,0
B2,189,1,1,1,1,1,1,1,1,1,0,1,1
B2,190,0,1,1,1,1,1,0,0,1,1,0,1
B2,191,0,1,0,1,0,1,0,1,0,0,1,1
B2,192,1,1,1,1,0,1,0,1,0,0,0,0
B2,193,1,1,1,1,1,1,1,1,1,1,1,0
B2,194,0,0,0,0,0,0,0,0,0,0,0,1
B2,195,0,0,0,0,0,0,1,0,0,0,0,0
B2,196,1,0,1,1,1,1,0,1,0,1,0,0
B2,197,1,1,1,1,1,1,1,0,0,0,1,1
B2,198,1,1,1,0,0,1,1,0,1,1,0,1
B2,199,1,1,1,1,0,1,1,1,1,1,1,1
B2,200,1,1,1,0,1,0,1,0,0,0,0,0
B2,201,1,1,1,0,1,0,0,1,0,1,0,1
B2,202,1,1,1,1,1,1,1,1,1,1,1,1
B2,203,0,1,1,0,1,1,1,1,0,0,0,1
B2,204,1,1,1,1,1,1,1,1,1,0,0,1
B2,205,1,0,1,1,1,1,0,0,0,0,0,0
B2,206,0,0,1,0,1,1,1,1,1,0,1,0
B2,207,0,0,1,0,0,0,0,0,1,0,0,0
B2,208,1,1,1,1,1,1,1,1,1,1,1,1
B2,209,1,1,1,1,1,1,0,1,1,1,1,0
B2,210,0,0,1,1,0,1,0,1,0,0,0,0
B2,211,1,1,1,1,0,1,1,0,1,1,0,0
B2,212,0,0,1,1,0,0,1,1,0,1,0,0
B2,213,0,0,0,0,1,0,0,1,1,0,0,0
B2,214,1,1,1,1,1,1,1,0,1,0,0,1
B2,215,1,1,1,0,1,1,1,1,1,1,0,1
B2,216,1,1,0,1,1,1,1,1,1,1,1,1
B2,217,1,1,0,0,0,0,1,1,1,0,0,1
B2,218,0,0,0,0,0,0,1,1,0,0,0,0
B2,219,0,0,0,0,0,0,0,0,1,0,0,0
B2,220,0,0,0,0,0,0,0,0,0,0,0,0
B2,221,1,1,0,0,0,0,0,0,1,0,0,1
B2,222,1,1,0,1,1,1,0,0,1,1,0,0
B2,223,1,0,1,0,0,0,0,0,0,0,0,0
B2,224,1,1,0,0,1,1,0,1,1,1,0,1
B2,225,1,1,1,1,1,1,0,1,1,1,0,1
B2,226,1,0,1,1,1,1,1,1,1,0,1,0
B2,227,1,0,0,1,0,0,0,0,0,0,0,0
B2,228,1,1,0,1,1,0,1,1,1,0,0,1
B2,229,1,1,0,1,1,1,1,1,1,1,0,1
B2,230,1,1,0,1,1,1,1,1,0,0,1,0
B2,231,0,1,1,1,0,0,0,0,1,0,0,0
B2,232,1,0,0,0,0,0,0,0,0,0,1,0
B2,233,1,1,1,1,1,0,1,1,0,0,1,0
B2,234,1,1,1,1,1,1,1,1,1,1,1,0
B2,235,1,0,1,1,1,1,0,1,1,1,0,1
B2,236,1,1,1,1,1,1,1,1,1,0,0,1
B2,237,0,0,0,0,0,0,0,0,0,0,0,0
B2,238,0,1,0,0,0,0,0,1,0,0,0,0
B2,239,0,1,1,1,1,1,0,1,0,0,1,1
B2,240,1,1,1,1,0,1,0,1,1,1,1,1
B2,241,1,1,1,1,1,1,0,1,1,0,1,1
B2,242,0,1,0,1,1,1,1,1,1,0,1,0
B2,243,1,1,1,0,0,1,1,0,0,0,0,1
B2,244,1,0,1,1,0,0,0,0,0,0,0,0
B2,245,1,1,0,1,1,1,1,1,1,1,0,0
B2,246,0,1,1,0,1,1,0,1,1,0,0,0
B2,247,1,0,0,0,0,0,0,0,0,1,0,0
B2,248,1,1,1,0,1,0,1,1,1,0,1,0
B2,249,1,0,0,1,1,1,0,0,1,0,0,0
B3,0,1,0,1,1,1,1,1,1,1,0,0,0
B3,1,1,1,0,0,0,1,1,1,1,1,1,0
B3,2,0,0,1,1,1,0,1,1,0,0,0,0
B3,3,1,1,1,1,0,1,1,1,1,1,1,1
B3,4,1,1,1,0,1,1,1,1,1,1,0,0
B3,5,0,0,0,0,0,0,0,0,0,0,0,0
B3,6,0,1,1,1,0,1,1,1,1,1,1,0
B3,7,1,1,1,1,1,1,1,0,0,0,1,0
B3,8,0,0,0,0,0,1,0,0,0,1,0,0
B3,9,1,1,1,0,0,0,0,0,0,0,0,0
B3,10,1,0,0,1,1,1,0,1,0,0,0,1
B3,11,0,1,1,1,1,1,1,1,1,1,0,1
B3,12,1,1,1,1,1,1,1,0,1,1,1,0
B3,13,0,1,1,1,1,1,1,1,1,1,1,1
B3,14,1,1,1,0,1,1,1,0,1,1,1,1
B3,15,1,1,1,1,0,1,0,0,0,0,0,0
B3,16,1,0,1,0,0,0,0,0,0,1,0,0
B3,17,0,0,0,0,1,1,0,1,0,0,0,0
B3,18,0,1,1,0,1,0,0,0,0,1,0,0
B3,19,1,0,0,0,0,0,1,0,0,1,0,0
B3,20,0,1,0,1,1,1,0,0,0,0,1,0
B3,21,1,1,1,0,1,1,1,1,1,1,1,0
B3,22,1,0,1,1,1,0,1,1,1,1,0,0
B3,23,1,1,1,1,0,1,0,1,1,1,1,1
B3,24,1,1,1,1,1,1,1,1,1,1,1,1
B3,25,1,1,1,0,1,1,0,1,1,1,1,0
B3,26,0,1,1,1,1,1,0,1,0,0,0,0
B3,27,1,1,1,1,1,1,0,1,1,0,1,1
B3,28,1,1,1,1,1,1,1,1,0,1,1,0
