battle,first,second,outcome
212,M6,M2,second
213,M3,M1,second
214,M5,M3,first
215,M5,M2,second
216,M6,M4,second
217,M5,M1,second
218,M6,M1,second
219,M5,M2,first
220,M1,M6,first
221,M1,M6,second
222,M6,M1,first
223,M1,M3,first
224,M5,M3,second
225,M2,M5,first
226,M5,M3,first
227,M3,M1,tie
228,M5,M3,second
229,M2,M6,first
230,M3,M5,first
231,M3,M4,second
232,M3,M2,tie
233,M1,M6,second
234,M2,M6,tie
235,M1,M4,second
236,M5,M2,first
237,M3,M4,second
238,M4,M1,first
239,M1,M2,first
240,M1,M3,first
241,M6,M1,second
242,M5,M2,second
243,M3,M2,second
244,M2,M3,second
245,M3,M5,first
246,M6,M5,second
247,M1,M3,first
248,M2,M4,first
249,M3,M4,second
250,M1,M6,first
251,M3,M5,second
252,M6,M5,second
253,M4,M3,first
254,M2,M3,second
255,M5,M1,second
256,M1,M3,first
257,M4,M2,second
258,M3,M1,second
259,M6,M1,tie
260,M6,M4,second
261,M5,M3,first
262,M6,M4,second
263,M1,M2,first
264,M6,M1,tie
265,M4,M5,first
266,M3,M4,second
267,M3,M1,second
268,M4,M3,first
269,M4,M3,first
270,M2,M6,tie
271,M1,M3,tie
272,M5,M1,second
273,M3,M5,first
274,M3,M1,first
275,M5,M2,first
276,M5,M1,second
277,M1,M6,first
278,M2,M5,first
279,M1,M4,first
280,M6,M1,tie
281,M3,M2,second
282,M6,M2,second
283,M2,M5,tie
284,M2,M5,second
285,M3,M6,first
286,M1,M6,first
287,M5,M1,first
288,M3,M1,second
289,M4,M3,second
290,M2,M5,second
291,M3,M5,second
292,M5,M6,second
293,M3,M5,first
294,M3,M2,first
295,M4,M2,second
296,M1,M5,first
297,M2,M1,second
298,M5,M2,second
299,M4,M1,second
