item,sample,M1,M2,M3,M4,M5
56,9,1,1,1,1,1
57,0,1,1,1,1,1
57,1,1,1,1,1,1
57,2,1,1,1,1,1
57,3,1,1,1,1,1
57,4,1,1,1,1,1
57,5,1,1,1,1,1
57,6,1,1,1,1,1
57,7,1,1,1,1,1
57,8,1,1,1,1,1
57,9,1,1,1,1,1
58,0,1,1,1,1,1
58,1,1,1,1,1,1
58,2,1,1,0,1,0
58,3,1,1,1,1,1
58,4,1,1,1,1,1
58,5,1,1,1,1,1
58,6,1,1,1,1,1
58,7,1,1,1,1,1
58,8,1,1,1,1,1
58,9,1,1,0,1,1
59,0,1,1,1,1,1
59,1,1,1,1,0,1
59,2,1,1,1,1,1
59,3,1,1,1,1,0
59,4,1,1,0,0,1
59,5,1,1,1,1,1
59,6,1,1,1,1,1
59,7,1,1,1,1,1
59,8,1,1,1,0,1
59,9,1,1,1,1,1
60,0,0,0,1,1,0
60,1,1,0,0,1,0
60,2,1,0,1,1,0
60,3,1,1,1,1,0
60,4,0,0,0,1,1
60,5,1,1,1,1,1
60,6,1,1,1,1,1
60,7,0,1,1,1,0
60,8,0,1,0,0,0
60,9,1,1,0,0,0
61,0,1,1,1,1,1
61,1,1,1,1,1,1
61,2,1,1,1,1,1
61,3,1,1,1,1,1
61,4,1,1,1,1,1
61,5,1,1,1,1,1
61,6,1,1,1,1,1
61,7,1,1,1,1,1
61,8,1,1,1,1,1
61,9,1,1,1,1,1
62,0,0,0,1,1,1
62,1,0,0,0,0,0
62,2,1,1,0,1,0
62,3,1,1,0,1,0
62,4,0,1,1,0,0
62,5,1,0,1,0,0
62,6,1,0,0,1,0
62,7,0,1,0,1,0
62,8,0,1,0,0,0
62,9,0,0,0,0,0
63,0,1,1,1,1,0
63,1,0,1,1,1,1
63,2,0,1,1,1,1
63,3,1,1,1,1,1
63,4,1,1,1,1,1
63,5,1,1,1,1,1
63,6,1,1,1,1,0
63,7,1,1,1,1,1
63,8,1,0,1,1,1
63,9,1,0,0,1,0
64,0,0,0,1,1,0
64,1,1,0,0,0,0
64,2,0,0,0,0,0
64,3,0,0,1,0,0
64,4,1,0,0,1,0
64,5,1,1,0,0,0
64,6,0,0,0,0,0
64,7,1,1,1,0,0
64,8,0,0,1,1,0
64,9,0,0,1,0,1
65,0,1,1,0,0,0
65,1,0,0,0,0,0
65,2,1,0,0,1,0
65,3,0,0,1,0,0
65,4,0,0,0,0,1
65,5,0,1,1,0,0
65,6,0,0,1,0,0
65,7,1,0,0,1,0
65,8,1,0,0,0,1
65,9,1,1,0,0,1
66,0,1,1,1,1,1
66,1,1,1,1,1,1
66,2,0,1,0,1,0
66,3,1,1,1,0,1
66,4,1,0,1,1,1
66,5,1,0,1,1,1
66,6,1,1,1,1,1
66,7,1,0,1,1,1
66,8,1,1,1,1,1
66,9,1,1,1,1,1
67,0,0,1,1,1,1
67,1,1,0,1,1,1
67,2,0,0,1,0,0
67,3,0,0,0,1,1
67,4,1,1,1,0,0
67,5,0,0,0,1,1
67,6,0,0,1,1,0
67,7,1,1,0,0,1
67,8,1,1,1,0,0
67,9,1,1,0,0,0
68,0,0,0,0,1,0
68,1,1,1,0,0,0
68,2,1,0,0,0,0
68,3,1,1,1,0,1
68,4,0,1,0,0,0
68,5,0,0,0,1,0
68,6,0,0,1,0,0
68,7,0,1,1,1,1
68,8,0,1,1,0,0
68,9,1,1,0,1,0
69,0,1,1,1,1,1
69,1,1,1,0,1,1
69,2,1,1,1,1,0
69,3,1,0,1,1,1
69,4,1,1,1,1,1
69,5,1,1,1,1,0
69,6,1,1,0,1,1
69,7,1,1,1,1,1
69,8,1,1,1,1,1
69,9,1,1,1,1,1
70,0,1,1,0,1,1
70,1,1,1,1,1,1
70,2,1,1,1,1,1
70,3,0,1,1,0,1
70,4,0,0,1,1,0
70,5,1,1,1,1,0
70,6,1,0,1,1,0
70,7,1,0,0,1,1
70,8,1,1,1,1,1
70,9,0,1,1,1,1
71,0,1,0,1,0,1
71,1,1,1,1,1,1
71,2,1,1,0,0,0
71,3,1,1,1,1,0
71,4,1,1,1,0,0
71,5,1,0,1,1,0
71,6,1,1,1,1,1
71,7,1,1,0,0,0
71,8,0,1,0,1,0
71,9,1,1,0,0,1
72,0,0,1,1,1,1
72,1,1,1,1,1,1
72,2,1,1,1,1,1
72,3,1,1,1,1,1
72,4,1,1,1,1,1
72,5,1,1,1,1,1
72,6,1,1,1,1,1
72,7,1,0,1,1,1
72,8,1,1,1,1,1
72,9,1,1,1,1,1
73,0,1,1,1,1,1
73,1,1,0,0,1,1
73,2,0,0,1,1,0
73,3,1,1,1,1,1
73,4,1,1,1,1,0
73,5,1,1,1,1,1
73,6,0,1,1,1,1
73,7,1,0,1,1,1
73,8,1,1,1,1,0
73,9,1,1,1,1,1
74,0,1,0,1,1,1
74,1,1,1,1,0,0
74,2,1,1,1,1,1
74,3,1,1,0,0,1
74,4,1,1,1,1,1
74,5,1,1,0,1,1
74,6,1,1,0,0,1
74,7,1,0,1,0,1
74,8,1,0,1,1,0
74,9,1,0,0,0,1
75,0,0,0,0,0,0
75,1,0,1,0,0,0
75,2,1,0,1,1,0
75,3,1,1,1,0,0
75,4,0,1,0,1,0
75,5,1,0,0,0,0
75,6,1,0,0,1,0
75,7,0,0,0,0,0
75,8,1,0,0,1,1
75,9,0,0,0,0,0
76,0,1,1,1,1,1
76,1,1,1,1,1,1
76,2,1,1,1,1,1
76,3,1,0,1,1,1
76,4,1,1,1,1,1
76,5,1,0,1,1,1
76,6,1,1,1,1,1
76,7,1,0,1,1,1
76,8,1,1,1,1,1
76,9,1,1,0,0,1
77,0,1,1,1,1,1
77,1,1,1,0,1,1
77,2,1,1,1,1,0
77,3,1,1,1,1,1
77,4,1,1,1,1,1
77,5,1,1,1,1,1
77,6,1,1,1,1,1
77,7,1,1,1,1,1
77,8,1,1,1,1,1
77,9,1,1,1,1,1
78,0,1,1,1,1,1
78,1,1,1,1,1,0
78,2,1,1,1,0,1
78,3,1,1,1,1,1
78,4,1,1,1,1,1
78,5,1,1,1,1,1
78,6,1,1,1,1,1
78,7,0,1,1,1,1
78,8,1,1,1,0,1
78,9,1,1,1,1,1
79,0,1,0,1,0,0
79,1,0,1,0,0,0
79,2,0,1,1,0,0
79,3,1,1,0,1,0
79,4,0,1,0,1,0
79,5,1,0,1,0,0
79,6,1,1,0,0,0
79,7,0,0,0,1,0
79,8,1,1,0,1,0
79,9,0,0,0,0,0
80,0,0,0,1,1,0
80,1,1,0,0,1,1
80,2,0,1,1,0,1
80,3,1,1,0,1,0
80,4,0,1,0,0,1
80,5,1,1,0,1,0
80,6,0,0,0,1,1
80,7,1,1,1,1,1
80,8,1,1,1,1,1
80,9,1,1,1,1,1
81,0,0,0,0,0,0
81,1,1,0,0,0,0
81,2,1,0,0,0,0
81,3,0,1,0,0,0
81,4,0,0,0,0,0
81,5,0,0,1,0,0
81,6,0,0,1,0,0
81,7,0,1,1,0,0
81,8,0,1,0,0,0
81,9,0,0,0,0,0
82,0,1,0,1,1,0
82,1,1,0,1,0,0
82,2,0,1,0,0,1
82,3,0,1,0,0,1
82,4,1,0,1,0,0
82,5,1,0,0,0,0
82,6,0,0,1,1,0
82,7,1,1,0,1,0
82,8,1,1,1,0,1
82,9,1,1,1,0,1
83,0,1,1,1,1,1
83,1,1,1,0,1,1
83,2,0,1,1,1,1
83,3,1,0,1,1,0
83,4,1,0,1,1,1
83,5,0,0,1,1,0
83,6,1,0,1,0,0
83,7,1,1,1,1,0
83,8,1,1,1,1,0
83,9,1,0,0,1,1
84,0,0,0,0,0,0
84,1,0,0,0,0,0
84,2,0,0,0,0,0
84,3,0,0,0,0,0
84,4,0,0,0,0,0
84,5,0,0,0,0,0
84,6,1,1,0,1,0
84,7,0,0,0,0,0
84,8,0,0,0,1,0
84,9,0,0,0,0,0
85,0,0,0,0,0,0
85,1,0,0,0,0,0
85,2,0,0,0,0,0
85,3,1,0,0,0,0
85,4,0,0,0,0,0
85,5,0,0,0,0,0
85,6,0,1,0,0,1
85,7,1,0,0,1,1
85,8,1,1,0,0,0
85,9,0,0,0,0,0
86,0,1,0,1,0,0
86,1,0,0,0,0,0
86,2,0,0,0,0,0
86,3,0,0,0,1,0
86,4,1,0,1,0,1
86,5,0,1,0,0,0
86,6,0,0,1,0,0
86,7,0,0,0,0,0
86,8,1,0,0,0,0
86,9,0,1,0,0,0
87,0,0,1,0,0,1
87,1,0,0,0,0,0
87,2,0,0,0,1,1
87,3,1,0,0,0,0
87,4,0,1,0,0,0
87,5,1,0,0,0,0
87,6,0,0,1,0,1
87,7,0,1,0,0,0
87,8,0,1,0,0,0
87,9,0,0,0,0,0
88,0,1,1,1,1,1
88,1,1,1,1,1,1
88,2,1,1,0,1,1
88,3,1,1,1,1,1
88,4,1,1,1,1,1
88,5,1,1,1,1,0
88,6,1,1,1,1,1
88,7,1,1,1,1,1
88,8,1,1,0,1,1
88,9,1,1,1,1,0
89,0,0,0,0,0,0
89,1,1,1,0,0,1
89,2,0,1,0,0,0
89,3,0,1,0,0,0
89,4,1,0,0,0,0
89,5,0,1,1,1,0
89,6,0,1,0,0,0
89,7,1,0,0,1,0
89,8,1,1,0,1,0
89,9,0,0,0,0,0
90,0,1,1,1,1,1
90,1,1,1,1,1,1
90,2,1,1,1,1,0
90,3,1,1,1,1,1
90,4,1,1,1,1,1
90,5,1,1,1,1,0
90,6,1,1,1,1,0
90,7,1,1,1,1,1
90,8,1,1,1,1,1
90,9,1,0,1,1,1
91,0,1,1,0,1,1
91,1,0,1,1,0,0
91,2,1,1,0,1,1
91,3,1,1,1,1,1
91,4,1,0,1,1,0
91,5,1,1,0,1,0
91,6,1,1,0,0,1
91,7,1,1,1,0,1
91,8,1,0,1,1,0
91,9,1,1,0,1,1
92,0,1,0,1,1,1
92,1,1,1,1,1,1
92,2,1,1,1,1,0
92,3,1,1,1,1,1
92,4,1,1,0,1,1
92,5,1,0,1,0,1
92,6,1,1,1,0,1
92,7,1,1,0,1,1
92,8,0,1,1,1,0
92,9,0,1,1,1,1
93,0,1,0,0,0,0
93,1,0,1,1,0,0
93,2,1,0,1,0,0
93,3,0,0,1,0,0
93,4,1,1,1,0,0
93,5,0,1,1,0,1
93,6,0,1,1,0,0
93,7,0,0,1,0,1
93,8,0,1,0,1,0
93,9,1,1,0,0,0
94,0,1,1,1,1,1
94,1,1,1,1,1,0
94,2,1,1,0,0,0
94,3,1,1,0,0,1
94,4,1,1,0,1,0
94,5,1,1,1,1,0
94,6,1,1,1,1,1
94,7,0,0,0,1,0
94,8,0,1,0,1,1
94,9,0,1,1,1,1
95,0,1,1,1,1,1
95,1,1,0,1,1,0
95,2,1,1,1,0,0
95,3,1,1,1,1,1
95,4,0,1,1,1,1
95,5,1,1,1,1,1
95,6,0,1,1,0,1
95,7,1,0,0,0,1
95,8,1,1,0,1,1
95,9,1,1,1,0,1
96,0,1,0,1,1,0
96,1,1,0,0,1,0
96,2,0,1,1,1,1
96,3,0,1,0,1,1
96,4,1,1,1,1,0
96,5,1,0,0,0,0
96,6,1,1,0,1,0
96,7,1,1,1,0,0
96,8,1,0,1,1,1
96,9,1,1,1,1,0
97,0,1,0,0,1,0
97,1,0,1,1,1,0
97,2,1,1,1,1,1
97,3,1,0,1,1,0
97,4,1,1,1,1,1
97,5,1,1,1,1,0
97,6,1,0,1,1,1
97,7,1,1,1,1,1
97,8,1,0,1,1,0
97,9,1,1,1,1,1
98,0,0,1,0,1,0
98,1,1,1,0,0,1
98,2,1,1,1,0,1
98,3,0,0,1,1,1
98,4,1,1,0,1,0
98,5,1,1,1,0,1
98,6,1,1,1,1,1
98,7,1,1,1,0,1
98,8,1,1,1,1,0
98,9,1,0,1,1,0
99,0,1,1,1,1,1
99,1,1,1,1,1,1
99,2,1,1,1,1,1
99,3,1,1,1,1,1
99,4,1,1,1,1,1
99,5,1,1,1,1,0
99,6,1,1,1,1,1
