passage,item,M1,M2,M3,M4,M5
24,196,0,0,0,0,0
24,197,0,1,0,1,1
24,198,1,1,1,0,0
24,199,0,0,1,0,0
25,200,1,1,1,0,0
25,201,1,0,1,0,1
25,202,1,1,0,1,1
25,203,1,1,1,1,1
25,204,1,1,1,1,0
25,205,1,0,1,1,0
25,206,1,1,0,1,1
25,207,1,0,1,1,0
26,208,1,1,0,0,1
26,209,0,0,0,1,1
26,210,1,0,1,1,1
26,211,0,0,0,1,1
26,212,1,1,0,1,1
26,213,0,1,1,1,0
26,214,0,1,1,1,0
26,215,0,1,1,1,1
27,216,0,0,0,0,0
27,217,1,1,1,1,0
27,218,0,0,1,0,0
27,219,0,1,1,0,0
27,220,1,0,0,0,0
27,221,1,1,0,1,1
27,222,0,1,0,1,1
27,223,0,0,0,0,0
28,224,1,1,1,1,1
28,225,0,1,1,1,0
28,226,1,1,0,1,0
28,227,0,0,0,0,1
28,228,0,0,1,1,0
28,229,0,1,0,1,1
28,230,0,1,0,1,1
28,231,0,1,0,0,1
29,232,0,0,0,0,0
29,233,0,0,1,1,0
29,234,1,1,0,0,0
29,235,1,0,0,0,1
29,236,0,0,1,0,0
29,237,1,0,0,0,0
29,238,1,0,1,1,0
29,239,0,0,0,1,0
30,240,0,0,0,1,0
30,241,0,0,1,0,0
30,242,0,0,0,0,0
30,243,0,0,1,0,1
30,244,0,0,0,0,0
30,245,0,0,0,0,0
30,246,0,0,0,1,0
30,247,0,0,0,0,0
31,248,0,0,0,0,0
31,249,0,0,0,0,0
31,250,0,1,0,0,0
31,251,0,1,0,1,1
31,252,1,0,0,1,0
31,253,0,0,0,0,0
31,254,1,1,0,0,0
31,255,0,0,0,0,0
32,256,1,0,0,0,1
32,257,0,1,1,1,0
32,258,1,1,0,0,1
32,259,0,1,1,1,1
32,260,1,1,1,1,0
32,261,1,0,0,0,1
32,262,1,1,1,1,0
32,263,0,1,1,1,1
33,264,1,0,1,1,1
33,265,1,1,0,1,1
33,266,1,1,1,1,0
33,267,1,1,1,1,0
33,268,1,1,1,0,1
33,269,1,1,1,0,1
33,270,1,1,1,0,1
33,271,1,1,1,1,0
34,272,1,1,0,1,0
34,273,1,1,0,1,0
34,274,0,1,1,0,1
34,275,1,0,1,1,1
34,276,0,0,0,1,0
34,277,1,1,0,1,0
34,278,1,1,1,1,1
34,279,1,1,1,0,0
35,280,1,0,1,0,0
35,281,1,1,0,0,0
35,282,0,0,0,1,0
35,283,1,1,0,0,1
35,284,0,0,0,1,0
35,285,0,1,0,1,1
35,286,0,0,1,1,1
35,287,1,1,0,0,0
36,288,1,1,1,1,1
36,289,1,1,1,1,1
36,290,1,1,1,1,1
36,291,1,0,1,1,1
36,292,1,1,1,0,1
36,293,1,1,1,1,1
36,294,1,1,1,1,0
36,295,1,1,0,1,1
37,296,0,0,0,0,0
37,297,1,1,0,0,1
37,298,0,0,0,0,0
37,299,0,0,1,0,0
37,300,0,0,1,0,0
37,301,1,0,0,1,1
37,302,0,1,0,1,0
37,303,0,1,1,1,0
38,304,1,1,1,1,0
38,305,0,1,1,1,0
38,306,0,0,1,0,0
38,307,0,1,1,1,1
38,308,1,0,0,0,0
38,309,1,0,1,0,0
38,310,1,0,1,0,0
38,311,1,0,0,1,1
39,312,1,1,1,0,0
39,313,1,1,1,1,1
39,314,1,1,1,1,1
39,315,1,1,1,1,1
39,316,1,1,1,1,1
39,317,1,1,1,1,1
39,318,1,1,1,1,1
39,319,1,1,1,1,1
