item,confidence,correct
354,0.6438,0
355,0.9333,0
356,0.8387,1
357,0.5062,1
358,0.8309,1
359,0.9794,1
360,0.9186,1
361,0.3880,0
362,0.8933,1
363,0.8856,1
364,0.9759,0
365,0.5947,0
366,0.9578,1
367,0.8389,0
368,0.8048,1
369,0.9000,0
370,0.9690,1
371,0.9703,1
372,0.8171,1
373,0.5044,0
374,0.9950,1
375,0.9909,1
376,0.9950,1
377,0.6329,0
378,0.8979,1
379,0.5942,0
380,0.7443,0
381,0.8945,1
382,0.7186,0
383,0.9063,0
384,0.9430,1
385,0.8647,1
386,0.9681,0
387,0.9154,1
388,0.8465,1
389,0.9301,0
390,0.9071,0
391,0.8179,1
392,0.9950,1
393,0.7708,0
394,0.5026,1
395,0.8418,1
396,0.9039,1
397,0.9813,1
398,0.9950,1
399,0.8925,0
400,0.6226,0
401,0.9950,1
402,0.9523,1
403,0.9750,1
404,0.2660,1
405,0.6278,0
406,0.7107,0
407,0.9344,1
408,0.5829,0
409,0.9950,1
410,0.9916,1
411,0.8630,1
412,0.6866,0
413,0.9910,1
414,0.9848,1
415,0.7624,0
416,0.2600,1
417,0.3334,0
418,0.7597,0
419,0.9509,0
420,0.9950,1
421,0.8421,1
422,0.8722,0
423,0.9781,1
424,0.4367,1
425,0.9950,1
426,0.7071,1
427,0.9939,1
428,0.9950,1
429,0.9821,1
430,0.5212,0
431,0.9950,1
432,0.7250,0
433,0.4734,1
434,0.4345,0
435,0.2835,0
436,0.8083,1
437,0.8162,1
438,0.9950,1
439,0.9765,1
440,0.9861,1
441,0.9804,1
442,0.9796,1
443,0.9302,1
444,0.9334,1
445,0.9248,0
446,0.9950,1
447,0.5233,1
448,0.8371,1
449,0.2609,1
450,0.7130,1
451,0.2739,0
452,0.9950,1
453,0.8599,1
454,0.3532,0
455,0.9570,1
456,0.9026,1
457,0.8744,1
458,0.7167,0
459,0.7743,0
460,0.7954,0
461,0.9896,1
462,0.5143,0
463,0.6315,0
464,0.4659,0
465,0.4102,1
466,0.5977,0
467,0.9950,1
468,0.9950,1
469,0.9197,1
470,0.6034,0
471,0.3010,1
472,0.9351,1
473,0.9441,1
474,0.8814,1
475,0.8623,1
476,0.5534,0
477,0.9622,1
478,0.6805,1
479,0.9950,1
480,0.2600,0
481,0.8355,0
482,0.9694,1
483,0.4363,0
484,0.4125,0
485,0.9168,0
486,0.6979,1
487,0.9950,1
488,0.8125,0
489,0.7338,0
490,0.9950,0
491,0.9875,1
492,0.9950,1
493,0.8975,0
494,0.7283,0
495,0.9950,1
496,0.9372,0
497,0.7835,0
498,0.9950,1
499,0.9549,0
500,0.9570,1
501,0.8221,1
502,0.9686,0
503,0.8809,1
504,0.9511,1
505,0.4918,1
506,0.9680,1
507,0.9950,1
508,0.4305,0
509,0.9004,1
510,0.9214,1
511,0.8932,1
512,0.9950,1
513,0.9534,1
514,0.9750,1
515,0.9362,1
516,0.6039,0
517,0.8815,0
518,0.9164,1
519,0.7155,0
520,0.6385,0
521,0.9250,1
522,0.6541,1
523,0.9536,1
524,0.4058,0
525,0.4792,1
526,0.8251,1
527,0.5537,1
528,0.6002,0
529,0.9950,1
530,0.7933,0
531,0.7514,1
532,0.8638,0
533,0.9504,1
534,0.9649,1
535,0.9950,1
536,0.9376,1
537,0.9016,1
538,0.9490,1
539,0.8333,1
540,0.8312,1
541,0.7286,1
542,0.3959,1
543,0.9950,0
544,0.8844,1
545,0.9706,1
546,0.7349,0
547,0.9950,1
548,0.9166,1
549,0.9469,1
550,0.7956,0
551,0.9950,1
552,0.4315,0
553,0.9950,1
554,0.9329,1
555,0.8977,0
556,0.6622,0
557,0.9527,1
558,0.3953,1
559,0.9950,1
560,0.3667,0
561,0.6708,1
562,0.9950,1
563,0.9950,1
564,0.9698,1
565,0.9950,1
566,0.9950,1
567,0.9801,1
568,0.9786,1
569,0.9950,1
570,0.4999,0
571,0.7837,0
572,0.9787,1
573,0.9612,1
574,0.6422,1
575,0.9919,1
576,0.9795,1
577,0.4985,0
578,0.9689,0
579,0.7295,1
580,0.9401,0
581,0.9950,0
582,0.9950,1
583,0.9374,1
584,0.5283,0
585,0.6650,0
586,0.5784,0
587,0.6087,0
588,0.8836,1
589,0.8591,0
590,0.9675,1
591,0.9674,1
592,0.9950,1
593,0.8822,1
594,0.8060,1
595,0.6685,0
596,0.3668,0
597,0.9791,1
598,0.9365,1
599,0.6025,0
600,0.4176,0
601,0.8182,1
602,0.9519,1
603,0.7003,1
604,0.7151,1
605,0.9043,0
606,0.8083,0
607,0.9849,1
608,0.9827,0
609,0.3694,0
610,0.9294,1
611,0.5359,0
612,0.6820,0
613,0.6827,0
614,0.3581,0
615,0.9220,1
616,0.9950,0
617,0.5294,0
618,0.9135,1
619,0.8163,0
620,0.8659,0
621,0.9350,0
622,0.8366,1
623,0.9157,1
624,0.9156,1
625,0.8349,1
626,0.5699,0
627,0.9091,1
628,0.9396,1
629,0.9410,1
630,0.5157,0
631,0.9315,0
632,0.9786,1
633,0.8664,1
634,0.9950,1
635,0.5448,1
636,0.6938,1
637,0.9606,1
638,0.7266,1
639,0.8141,0
640,0.9442,1
641,0.7525,0
642,0.8774,1
643,0.5388,1
644,0.7322,1
645,0.4461,1
646,0.4780,0
647,0.4685,1
648,0.7572,0
649,0.7683,1
650,0.8884,0
651,0.9271,1
652,0.9130,1
653,0.9945,1
654,0.9268,1
655,0.8184,1
656,0.9950,1
657,0.5603,1
658,0.9751,1
659,0.9950,1
660,0.9510,0
661,0.7733,0
662,0.8755,1
663,0.2600,0
664,0.8753,1
665,0.9793,1
666,0.8511,1
667,0.9167,1
668,0.9950,1
669,0.9779,1
670,0.6545,0
671,0.6175,0
672,0.7743,0
673,0.6467,1
674,0.9950,1
675,0.7192,0
676,0.6163,0
677,0.6906,1
678,0.9176,1
679,0.9950,1
680,0.8288,1
681,0.7794,0
682,0.8729,0
683,0.9950,0
684,0.5138,0
685,0.6531,0
686,0.9293,1
687,0.2600,0
688,0.9367,1
689,0.8759,1
690,0.9337,1
691,0.8026,1
692,0.9671,1
693,0.6024,1
694,0.6051,1
695,0.3469,0
696,0.6411,1
697,0.6674,0
698,0.9849,1
699,0.9634,1
700,0.9950,1
701,0.8033,1
702,0.6696,0
703,0.6278,0
704,0.9388,1
705,0.4448,0
706,0.8970,1
707,0.9950,1
708,0.9140,1
709,0.3986,1
710,0.9691,1
711,0.9950,1
712,0.7517,1
713,0.9950,1
714,0.9869,1
715,0.9950,0
716,0.9211,1
717,0.3583,1
718,0.8221,1
719,0.4405,1
720,0.9225,1
721,0.9053,0
722,0.8930,0
723,0.5166,0
724,0.7805,1
725,0.7471,0
726,0.7677,0
727,0.3627,0
728,0.9950,1
729,0.9950,1
730,0.9505,1
731,0.9298,1
732,0.8479,0
733,0.6368,0
734,0.9035,1
735,0.9950,1
736,0.8368,1
737,0.9525,1
738,0.6349,0
739,0.9296,1
740,0.7189,1
741,0.4002,0
742,0.8282,1
743,0.4840,1
744,0.7329,1
745,0.4174,0
746,0.6303,0
747,0.6136,1
748,0.9643,1
749,0.9950,1
750,0.9781,1
751,0.9950,1
752,0.8933,1
753,0.6002,1
754,0.9824,1
755,0.7065,1
756,0.9950,1
757,0.5055,0
758,0.5190,0
759,0.9532,1
760,0.9728,1
761,0.9188,1
762,0.8072,1
763,0.9781,1
764,0.9933,1
765,0.3470,1
766,0.3940,0
767,0.5327,1
768,0.8663,1
769,0.7080,0
770,0.4052,0
771,0.8746,1
772,0.8064,1
773,0.8929,0
774,0.9950,1
775,0.9496,1
776,0.4842,1
777,0.9214,1
778,0.9653,1
779,0.7266,0
780,0.7530,0
781,0.8191,1
782,0.7986,0
783,0.9075,1
784,0.9653,1
785,0.4954,1
786,0.9125,1
787,0.9503,1
788,0.6069,1
789,0.9114,1
790,0.9867,1
791,0.9950,1
792,0.5364,1
793,0.7744,1
794,0.9950,1
795,0.9388,1
796,0.8544,1
797,0.9643,1
798,0.7392,0
799,0.7531,0
800,0.9267,1
801,0.6945,1
802,0.8526,1
803,0.9099,1
804,0.9291,0
805,0.5344,0
806,0.4920,0
807,0.4433,0
808,0.6921,1
809,0.8042,1
810,0.7643,0
811,0.9315,0
812,0.7850,1
813,0.9675,1
814,0.3731,1
815,0.8518,1
816,0.5255,0
817,0.8676,1
818,0.6965,1
819,0.9834,1
820,0.9950,1
821,0.8850,0
822,0.9791,1
823,0.9400,1
824,0.8625,1
825,0.9872,1
826,0.9603,1
827,0.9315,1
828,0.9398,1
829,0.7577,1
830,0.9628,1
831,0.5001,0
832,0.9950,1
833,0.7836,1
834,0.7948,1
835,0.6030,0
836,0.9040,1
837,0.9950,0
838,0.4980,0
839,0.7019,0
840,0.5742,1
841,0.9337,1
842,0.8697,1
843,0.9609,1
844,0.9877,0
845,0.6497,0
846,0.8522,1
847,0.9187,1
848,0.8183,1
849,0.9650,1
850,0.9461,0
851,0.9488,1
852,0.7375,1
853,0.9678,1
854,0.9275,0
855,0.9635,1
856,0.9948,1
857,0.8896,1
858,0.5792,0
859,0.9077,1
860,0.9367,1
861,0.9582,1
862,0.9196,1
863,0.9466,1
864,0.8608,1
865,0.9756,1
866,0.9896,0
867,0.2600,1
868,0.7731,0
869,0.3816,0
870,0.9381,1
871,0.9214,1
872,0.9950,1
873,0.9696,1
874,0.8822,0
875,0.4270,0
876,0.9587,1
877,0.9950,1
878,0.9950,1
879,0.3444,1
880,0.7773,1
881,0.9950,0
882,0.7361,0
883,0.7693,0
884,0.7524,1
885,0.7300,0
886,0.8364,0
887,0.9459,1
888,0.9950,1
889,0.8114,0
890,0.9950,1
891,0.9203,1
892,0.3376,1
893,0.8048,1
894,0.9315,0
895,0.2739,0
896,0.9195,1
897,0.9326,1
898,0.4483,1
899,0.9950,1
900,0.6242,0
901,0.8573,1
902,0.9391,1
903,0.5083,1
904,0.9829,1
905,0.9242,1
906,0.9950,1
907,0.7792,1
908,0.6478,0
909,0.8299,1
910,0.9950,1
911,0.9950,1
912,0.9950,1
913,0.4436,0
914,0.8357,1
915,0.9950,1
916,0.9653,1
917,0.9710,1
918,0.7270,1
919,0.7936,0
920,0.8051,1
921,0.7461,1
922,0.9580,1
923,0.9738,1
924,0.9711,1
925,0.9584,1
926,0.4972,0
927,0.6326,0
928,0.9523,1
929,0.9950,1
930,0.8798,0
931,0.6591,1
932,0.9950,1
933,0.6863,0
934,0.9361,1
935,0.9592,1
936,0.9675,1
937,0.5432,1
938,0.9950,1
939,0.9665,1
940,0.8451,1
941,0.9950,1
942,0.8663,1
943,0.7047,1
944,0.3920,1
945,0.8810,1
946,0.7023,1
947,0.9871,1
948,0.9400,1
949,0.9946,1
950,0.9436,1
951,0.9092,1
952,0.7573,0
953,0.9950,1
954,0.9950,1
955,0.9785,1
956,0.9903,1
957,0.8204,1
958,0.8437,1
959,0.5197,1
960,0.9228,1
961,0.7062,1
962,0.9871,1
963,0.6802,0
964,0.8774,1
965,0.9902,1
966,0.9950,1
967,0.6624,0
968,0.8725,1
969,0.9548,1
970,0.9490,1
971,0.9711,1
972,0.4947,0
973,0.8625,0
974,0.9136,0
975,0.9950,1
976,0.8602,0
977,0.9363,1
978,0.7494,1
979,0.8610,1
980,0.6811,1
981,0.9604,1
982,0.6041,0
983,0.9096,1
984,0.9933,1
985,0.9365,1
986,0.7636,0
987,0.9646,1
988,0.8430,1
989,0.9708,1
990,0.8211,1
991,0.5928,0
992,0.3034,0
993,0.9327,1
994,0.7410,1
995,0.7733,0
996,0.9950,0
997,0.9950,1
998,0.9021,1
999,0.8722,1
1000,0.7769,1
1001,0.9662,0
1002,0.9950,1
1003,0.4308,0
1004,0.9903,1
1005,0.9231,1
1006,0.9793,1
1007,0.6790,0
1008,0.9950,1
1009,0.8994,1
1010,0.6966,1
1011,0.8685,1
1012,0.6020,1
1013,0.5887,1
1014,0.9168,0
1015,0.9686,1
1016,0.4342,1
1017,0.8573,1
1018,0.9126,1
1019,0.6716,0
1020,0.9266,1
1021,0.7808,0
1022,0.8981,1
1023,0.9642,0
1024,0.8692,0
1025,0.9431,1
1026,0.4795,1
1027,0.9275,1
1028,0.3891,1
1029,0.8966,1
1030,0.9695,1
1031,0.2600,0
1032,0.9645,0
1033,0.9950,1
1034,0.9682,1
1035,0.9358,0
1036,0.6853,0
1037,0.6800,0
1038,0.9950,1
1039,0.7840,1
1040,0.9504,1
1041,0.6139,1
1042,0.7847,0
1043,0.9950,1
1044,0.9337,0
1045,0.9802,0
1046,0.7392,0
1047,0.9480,1
1048,0.8815,0
1049,0.9588,1
1050,0.6639,1
1051,0.9658,1
1052,0.9948,1
1053,0.9333,1
1054,0.9918,1
1055,0.9950,1
1056,0.5830,1
1057,0.8882,1
1058,0.4455,1
1059,0.8573,1
1060,0.8647,1
1061,0.9616,1
1062,0.8961,0
1063,0.7003,1
1064,0.7804,1
1065,0.4573,1
1066,0.3226,0
1067,0.8641,1
1068,0.8510,0
1069,0.8824,1
1070,0.9827,1
1071,0.9950,1
1072,0.4496,1
1073,0.9950,1
1074,0.9000,1
1075,0.7803,0
1076,0.3641,0
1077,0.3847,1
1078,0.5548,1
1079,0.3713,1
1080,0.9370,1
1081,0.5603,1
1082,0.9652,1
1083,0.9108,0
1084,0.9950,1
1085,0.8765,1
1086,0.6136,0
1087,0.9927,1
1088,0.8279,1
1089,0.4532,0
1090,0.9103,1
1091,0.7558,1
1092,0.9228,0
1093,0.4614,1
1094,0.9950,1
1095,0.7832,0
1096,0.6677,0
1097,0.9536,0
1098,0.9950,1
1099,0.9139,1
1100,0.9018,1
1101,0.9783,1
1102,0.8132,1
1103,0.9950,0
1104,0.9950,1
1105,0.9692,1
1106,0.6335,1
1107,0.9807,1
1108,0.8483,1
1109,0.4556,0
1110,0.6546,0
1111,0.8037,1
1112,0.9544,1
1113,0.9950,1
1114,0.9932,1
1115,0.9008,1
1116,0.9298,1
1117,0.8280,0
1118,0.9698,1
1119,0.9250,1
1120,0.9538,1
1121,0.9846,1
1122,0.8476,0
1123,0.7900,0
1124,0.8185,0
1125,0.6408,1
1126,0.7764,1
1127,0.8963,1
1128,0.5486,0
1129,0.8569,0
1130,0.7429,1
1131,0.9783,1
1132,0.8603,0
1133,0.6870,0
1134,0.9950,1
1135,0.8811,1
1136,0.8640,0
1137,0.9515,1
1138,0.7140,0
1139,0.4343,0
1140,0.9767,1
1141,0.9522,1
1142,0.9416,1
1143,0.7255,1
1144,0.9057,1
1145,0.9730,1
1146,0.7242,0
1147,0.6637,1
1148,0.9950,1
1149,0.8650,1
1150,0.3739,1
1151,0.9085,1
1152,0.4636,0
1153,0.9398,1
1154,0.9642,1
1155,0.9411,1
1156,0.9950,1
1157,0.7489,1
1158,0.9709,1
1159,0.9161,0
1160,0.8961,1
1161,0.9950,1
1162,0.9235,1
1163,0.9636,1
1164,0.7391,1
1165,0.8472,1
1166,0.2600,0
1167,0.9808,1
1168,0.5538,1
1169,0.5514,1
1170,0.5977,0
1171,0.2766,1
1172,0.9950,1
1173,0.5890,1
1174,0.9679,1
1175,0.8538,1
1176,0.9154,1
1177,0.8938,0
1178,0.9756,1
1179,0.9950,1
1180,0.9950,0
1181,0.9874,1
1182,0.6431,0
1183,0.8137,1
1184,0.6251,1
1185,0.9487,1
1186,0.9527,1
1187,0.8387,1
1188,0.9950,1
1189,0.9904,1
1190,0.9135,1
1191,0.5062,0
1192,0.8101,1
1193,0.5490,1
1194,0.7409,1
1195,0.8855,1
1196,0.8953,0
1197,0.7982,0
1198,0.9678,0
1199,0.5969,1
1200,0.9950,1
1201,0.5111,1
1202,0.9897,1
1203,0.9950,1
1204,0.5685,0
1205,0.8145,1
1206,0.8837,1
1207,0.8060,0
1208,0.9848,1
1209,0.6284,0
1210,0.9747,1
1211,0.4600,0
1212,0.8335,0
1213,0.5487,0
1214,0.9584,1
1215,0.8726,1
1216,0.9324,0
1217,0.7981,0
1218,0.2794,0
1219,0.5684,1
1220,0.2826,1
1221,0.9672,1
1222,0.6524,0
1223,0.9671,1
1224,0.9360,1
1225,0.9009,0
1226,0.9950,1
1227,0.3958,0
1228,0.6683,1
1229,0.8693,1
1230,0.9781,1
1231,0.7825,1
1232,0.5355,0
1233,0.9658,1
1234,0.8960,0
1235,0.5929,1
1236,0.9908,1
1237,0.7929,0
1238,0.9397,1
1239,0.3594,1
1240,0.3945,0
1241,0.9950,1
1242,0.9444,1
1243,0.2600,0
1244,0.9602,1
1245,0.9463,1
1246,0.8972,1
1247,0.6118,0
1248,0.8943,1
1249,0.8902,0
1250,0.6231,0
1251,0.3506,0
1252,0.9950,1
1253,0.6578,1
1254,0.6498,1
1255,0.6525,1
1256,0.9950,1
1257,0.9680,1
1258,0.6341,1
1259,0.9545,0
1260,0.3661,1
1261,0.9438,0
1262,0.9494,1
1263,0.9178,1
1264,0.9929,0
1265,0.6427,0
1266,0.7759,1
1267,0.9950,1
1268,0.9707,1
1269,0.9950,1
1270,0.9950,1
1271,0.7769,0
1272,0.3141,0
1273,0.3842,0
1274,0.8825,1
1275,0.8932,1
1276,0.9832,1
1277,0.9486,1
1278,0.6813,1
1279,0.9950,1
1280,0.5562,0
1281,0.7444,0
1282,0.9950,1
1283,0.9791,0
1284,0.9836,1
1285,0.8251,1
1286,0.8137,1
1287,0.8921,1
1288,0.7498,1
1289,0.8390,1
1290,0.5642,1
1291,0.9357,1
1292,0.9069,0
1293,0.8657,0
1294,0.8811,1
1295,0.3925,0
1296,0.9356,1
1297,0.2600,0
1298,0.2789,1
1299,0.6295,1
1300,0.9686,1
1301,0.9950,1
1302,0.8898,0
1303,0.6792,1
1304,0.7993,1
1305,0.5720,1
1306,0.9608,1
1307,0.4853,0
1308,0.4893,0
1309,0.9950,1
1310,0.4150,0
1311,0.9096,1
1312,0.8358,1
1313,0.9827,1
1314,0.8542,1
1315,0.9850,1
1316,0.6039,1
1317,0.8414,0
1318,0.8521,1
1319,0.9744,1
1320,0.9950,1
1321,0.9531,1
1322,0.9672,1
1323,0.8288,1
1324,0.9923,1
1325,0.9936,1
1326,0.8534,0
1327,0.9687,1
1328,0.6352,1
1329,0.2774,0
1330,0.9917,1
1331,0.5542,0
1332,0.9463,1
1333,0.9037,1
1334,0.9230,0
1335,0.8531,1
1336,0.7939,1
1337,0.6866,1
1338,0.9922,0
1339,0.9767,1
1340,0.9950,1
1341,0.5851,1
1342,0.4678,1
1343,0.9950,1
1344,0.7129,0
1345,0.9011,0
1346,0.9950,1
1347,0.4187,1
1348,0.9688,1
1349,0.9822,1
1350,0.9172,1
1351,0.9594,1
1352,0.8421,1
1353,0.9790,1
1354,0.6958,1
1355,0.6396,1
1356,0.7852,0
1357,0.6851,0
1358,0.9107,1
1359,0.8837,1
1360,0.7018,0
1361,0.9636,1
1362,0.8133,1
1363,0.9173,1
1364,0.9950,0
1365,0.9709,1
1366,0.4579,1
1367,0.7185,1
1368,0.9950,1
1369,0.9950,0
1370,0.9097,0
1371,0.5025,0
1372,0.9872,1
1373,0.8373,1
1374,0.6496,1
1375,0.9950,1
1376,0.9928,1
1377,0.3524,1
1378,0.9266,1
1379,0.9785,1
1380,0.8380,0
1381,0.3143,0
1382,0.8548,1
1383,0.9530,1
1384,0.7347,1
1385,0.8841,1
1386,0.8119,1
1387,0.5710,1
1388,0.9755,1
1389,0.6833,0
1390,0.9221,1
1391,0.6111,1
1392,0.7300,0
1393,0.8316,0
1394,0.9877,1
1395,0.8861,0
1396,0.8718,1
1397,0.9158,1
1398,0.7078,0
1399,0.8765,0
1400,0.7588,0
1401,0.9950,1
1402,0.8610,1
1403,0.9366,1
1404,0.2600,1
1405,0.7148,1
1406,0.9950,1
1407,0.8245,0
1408,0.4209,1
1409,0.6407,0
1410,0.9950,1
1411,0.8366,1
1412,0.8158,1
1413,0.5429,1
1414,0.7089,1
1415,0.6957,1
1416,0.7643,0
1417,0.8496,1
1418,0.9729,1
1419,0.8110,0
1420,0.5653,1
1421,0.9807,1
1422,0.9821,1
1423,0.8938,1
1424,0.4009,0
1425,0.9840,1
1426,0.9950,1
1427,0.9598,1
1428,0.6128,0
1429,0.4005,1
1430,0.9639,1
1431,0.9950,1
1432,0.5216,0
1433,0.9888,1
1434,0.9950,1
1435,0.9371,0
1436,0.9885,1
1437,0.9035,0
1438,0.4431,1
1439,0.4259,1
1440,0.6402,0
1441,0.9950,1
1442,0.9394,1
1443,0.8700,1
1444,0.7629,0
1445,0.9255,1
1446,0.8709,1
1447,0.5108,0
1448,0.8517,0
1449,0.4172,0
1450,0.9950,1
1451,0.9444,0
1452,0.9275,1
1453,0.9500,1
1454,0.8709,1
1455,0.7231,1
1456,0.5903,1
1457,0.6671,0
1458,0.8018,1
1459,0.3691,1
1460,0.6655,0
1461,0.9950,1
1462,0.9950,1
1463,0.9950,1
1464,0.9950,1
1465,0.9834,1
1466,0.3007,1
1467,0.8958,0
1468,0.9238,1
1469,0.6175,1
1470,0.4918,1
1471,0.9089,1
1472,0.9950,1
1473,0.9013,1
1474,0.3059,1
1475,0.4361,0
1476,0.7990,0
1477,0.5067,0
1478,0.9274,1
1479,0.4739,0
1480,0.9950,1
1481,0.9463,0
1482,0.7934,1
1483,0.9904,0
1484,0.9950,1
1485,0.9622,1
1486,0.9527,1
1487,0.4043,0
1488,0.8472,0
1489,0.8900,1
1490,0.9846,1
1491,0.7225,1
1492,0.9366,1
1493,0.9950,1
1494,0.8694,1
1495,0.8516,0
1496,0.8740,0
1497,0.6318,0
