prompt,len_E,len_F,EF,FE,EF_rep,human
240,84,174,0,0,0,
241,146,171,1,0,1,
242,178,197,1,0,1,
243,192,141,1,1,1,1
244,208,157,1,1,1,0
245,147,195,0,0,0,
246,360,143,1,1,1,1
247,315,220,1,1,1,
248,134,157,0,0,0,
249,143,271,1,0,1,
250,186,463,0,0,0,
251,195,262,0,0,0,0
252,260,113,1,0,1,1
253,222,254,1,0,1,
254,157,97,1,1,1,0
255,366,79,1,1,1,
256,207,177,1,1,1,
257,238,69,1,1,1,
258,86,159,1,0,1,
259,227,193,1,1,1,1
260,175,357,0,0,1,1
261,165,139,1,1,1,
262,272,119,1,1,1,1
263,439,335,1,0,1,
264,214,305,1,0,1,
265,119,213,1,0,1,
266,139,210,1,0,1,
267,246,169,1,1,1,1
268,319,207,1,1,1,
269,139,157,1,1,1,1
270,146,213,0,0,0,
271,293,153,1,1,1,
272,210,220,1,1,1,
273,177,167,0,0,0,
274,249,170,1,0,1,0
275,275,166,0,0,0,0
276,255,200,1,0,1,
277,267,212,0,0,0,1
278,258,217,1,1,1,0
279,186,199,0,0,0,
280,361,146,1,1,1,1
281,270,157,1,0,1,1
282,135,211,0,0,0,
283,285,168,1,0,1,0
284,180,113,1,1,1,
285,211,209,1,0,0,
286,195,266,0,0,1,1
287,195,229,0,0,0,
288,138,170,1,1,1,
289,291,127,1,1,1,
290,224,200,0,0,0,
291,201,281,0,0,0,
292,206,104,1,0,1,
293,129,200,1,0,1,
294,132,99,1,1,1,
295,351,136,1,0,1,
296,202,98,1,0,1,0
297,208,198,1,1,1,
298,299,117,1,1,1,
299,266,126,0,0,0,
300,258,160,1,1,1,
301,137,108,0,0,0,
302,111,261,1,1,1,
303,155,146,1,0,1,
304,332,241,1,0,1,
305,112,125,0,0,0,0
306,94,189,0,0,0,
307,198,175,1,1,1,
308,297,113,1,1,1,0
309,225,164,1,1,1,
310,56,170,1,0,1,1
311,495,52,1,1,1,0
312,138,77,1,1,1,
313,178,224,1,0,1,
314,222,206,1,0,1,
315,167,149,0,0,0,
316,394,246,0,0,0,
317,167,47,1,1,1,1
318,158,153,1,0,0,
319,221,172,1,1,1,0
320,119,235,0,0,1,0
321,222,57,1,1,1,
322,140,146,1,1,1,0
323,115,133,1,0,1,
324,163,130,1,1,1,
325,141,146,1,0,1,0
326,228,122,1,0,1,1
327,129,217,1,0,1,
328,237,101,0,0,1,0
329,170,221,1,1,1,1
330,273,269,0,0,0,0
331,135,313,0,0,0,
332,177,248,1,0,0,
333,183,259,0,0,0,
334,226,178,1,1,1,
335,345,260,1,0,1,1
336,77,230,0,0,0,
337,161,191,1,1,1,
338,179,166,1,1,1,
339,201,168,0,0,0,1
340,197,176,1,0,1,0
341,188,83,0,0,0,
342,145,66,0,0,0,
343,143,192,1,0,1,
344,377,269,0,0,0,
345,479,231,1,0,1,
346,123,64,0,0,0,0
347,110,174,1,1,1,
348,308,169,1,1,1,
349,454,108,1,1,1,
350,386,205,1,1,1,
351,247,203,0,0,0,
352,259,174,1,0,0,
353,196,127,1,1,1,1
354,256,136,1,1,1,
355,441,97,1,1,1,
356,220,104,1,1,1,
357,305,252,1,0,1,
358,132,195,0,0,0,
359,172,173,0,0,1,
360,143,105,1,1,1,
361,124,91,1,1,1,0
362,254,114,1,1,1,1
363,303,223,1,1,1,
364,139,104,1,1,1,
365,165,221,0,0,0,0
366,280,236,1,1,1,
367,319,188,1,1,1,
368,102,116,0,0,0,1
369,246,193,1,1,1,
370,167,94,1,1,1,
371,91,198,0,0,0,
372,95,177,1,1,1,0
373,289,83,1,1,1,
374,191,102,1,1,1,
375,100,149,0,0,0,
376,285,176,1,1,1,
377,197,366,1,0,0,1
378,120,183,1,1,1,
379,176,196,1,1,1,
380,208,78,1,1,1,
381,211,165,0,0,0,
382,225,159,1,1,1,1
383,232,120,1,1,1,
384,363,107,1,1,1,
385,183,154,1,1,1,
386,166,108,1,1,1,1
387,207,92,0,0,0,
388,279,86,1,1,1,
389,202,127,1,1,1,
390,309,238,0,0,0,
391,490,154,1,1,1,
392,155,227,0,0,1,
393,207,325,0,0,0,
394,118,173,0,0,0,1
395,173,78,1,1,1,1
396,181,227,1,1,1,
397,128,178,1,1,1,1
398,232,222,0,0,0,
399,108,144,0,0,1,
